"logFC","logCPM","PValue","FDR"
"Tcas006736",2.04045308790056,2.21559500402016,1.19252129439987e-06,0.000170223896766335
"Tcas010555",-1.61884585672295,8.32925929276976,1.2328812100767e-06,0.000173506324663188
"Tcas011944",-4.2620543928501,5.89835014284415,1.36309805945542e-06,0.000189167719584425
"Tcas007752",-1.30277151411369,6.59251098628021,1.54422194499349e-06,0.000211368022936643
"Tcas001934",-1.24502177608934,7.12572781739301,1.58923494732242e-06,0.0002145896701844
"Tcas006250",2.58121445410222,6.47310571830778,1.85017532218457e-06,0.000244855142813726
"Tcas003554",1.00456190790899,5.72448670734507,1.86238899658158e-06,0.000244855142813726
"Tcas006244",-3.32608127829404,2.2754913555682,2.12842949989817e-06,0.000276198280038734
"Tcas009187",-1.32165562524446,4.5377208359748,2.19580922778219e-06,0.000281288792358969
"Tcas011551",1.36782418948165,9.20173301673717,2.31704752103702e-06,0.000293062516837999
"Tcas004668",-1.60636149573607,4.79660404902773,2.48537648881055e-06,0.000310423523452437
"Tcas002819",1.67492338864371,1.5954358614353,2.6737625705576e-06,0.000329830069197674
"Tcas008415",0.961214742138064,4.67764749562922,2.7906664249211e-06,0.000339639066185378
"Tcas006308",-1.61225676129531,9.32700567925937,2.82126125834532e-06,0.000339639066185378
"Tcas008444",-3.24612993205371,6.26781858260418,3.65593804057326e-06,0.000434882534540571
"Tcas007000",-0.964005684364611,7.32950705212124,4.6207642942187e-06,0.000537276465654766
"Tcas000357",-1.73133584868357,5.04573503531522,4.62427702625198e-06,0.000537276465654766
"Tcas001689",1.01425741364434,6.47470170750214,4.93156748939221e-06,0.000563178605386207
"Tcas012185",-3.37398522839821,4.88385246463453,4.95993967914194e-06,0.000563178605386207
"Tcas009633",-1.24222082424618,3.403488756367,5.63082390318396e-06,0.000632170701579935
"Tcas010104",1.72092865085311,5.04477311195725,5.7733851569859e-06,0.000640974049873368
"Tcas008986",0.97436358597664,6.8486065388135,5.92035139161626e-06,0.000650067594560766
"Tcas005504",0.92777034045678,4.70693155763902,7.47478108353574e-06,0.00081182622376836
"Tcas006142",1.62405466225808,11.5905632833685,7.56681312274388e-06,0.000812984910994159
